,name,age,gender,ethnicity
391,X6063,65, M,H
392,X6064,64, F,H
393,X6065,57, F,H
394,X6066,63, F,H
395,X6067,40, F,H
396,X6068,57, F,H
397,X6069,38, M,H
398,X6070,64, M,H
399,X6071,59, F,H
400,X6072,58, F,H
401,X6073,41, F,H
402,X6074,58, M,H
403,X6075,26, M,H
404,X6076,61, M,H
405,X6077,56, F,H
406,X6078,66, F,H
407,X6079,62, F,H
408,X6080,56, M,H
409,X6081,55, F,H
410,X6082,61, F,H
411,X6083,58, F,H
412,X6084,53, M,H
413,X6085,63, F,H
414,X6086,59, M,H
415,X6087,61, F,H
416,X6088,66, F,H
417,X6089,65, F,H
418,X6090,58, F,H
419,X6091,43, F,H
420,X6092,55, F,H
421,X6093,47, M,H
422,X6094,50, F,H
423,X6095,46, F,H
424,X6096,54, F,H
425,X8001,80, F,C
426,X8002,83, F,C
427,X8003,77, M,C
428,X8004,76, F,C
429,X8007,64, F,C
430,X8008,70, M,C
431,X8009,82, F,C
432,X8010,58, F,C
433,X8012,66, F,C
434,X8013,85, F,C
435,X8014,66, M,C
436,X8015,69, M,C
437,X8016,84, F,C
438,X8017,79, M,C
439,X8018,64, M,C
440,X8019,78, M,C
441,X8020,53, M,C
442,X8021,59, F,C
443,X8022,65, M,C
444,X8023,61, F,C
445,X8024,58, M,C
446,X8025,69, F,C
447,X8026,60, F,C
448,X8027,65, F,C
449,X8028,89, F,C
450,X8029,74, F,C
451,X8031,81, M,C
452,X8032,68, F,C
453,X8033,68, F,C
454,X8034,65, F,C
455,X8035,90, M,C
456,X8036,66, M,C
457,X8037,79, M,C
458,X8038,57, M,C
459,X8039,76, M,C
460,X8040,79, F,C
461,X8041,49, F,C
462,X8043,92, M,C
463,X8044,66, M,C
464,X8045,59, F,C
465,X8046,76, F,C
466,X8047,56, F,C
467,X8049,52, M,C
468,X8050,65, F,C
469,X8051,73, F,C
470,X8053,65, M,C
471,X8054,84, F,C
472,X8055,51, M,C
473,X8056,78, F,C
474,X8057,53, M,C
475,X8059,68, M,C
476,X8060,52, M,C
477,X8061,72, F,C
478,X8062,48, M,C
479,X8063,60, F,C
480,X8064,61, M,C
481,X8065,69, F,C
482,X8066,81, F,C
483,X8067,56, F,C
484,X8068,79, F,C
485,X8069,82, M,C
486,X8070,58, M,C
487,X8071,75, F,C
488,X8072,78, M,C
489,X8076,57, F,C
490,X8077,70, F,C
491,X8078,77, M,C
492,X8080,56, F,C
493,X8081,67, F,C
494,X8082,76, M,C
495,X8083,89, M,C
496,X8084,69, M,C
497,X8085,79, M,C
498,X8086,80, M,C
499,X8087,76, M,C
500,X8088,48, F,C
501,X8089,61, M,C
502,X8090,52, M,C
503,X8092,69, M,C
504,X8093,41, F,C
505,X8094,69, M,C
506,X9001,65, M,H
507,X9002,45, M,H
508,X9003,66, M,H
509,X9004,76, M,H
510,X9005,76, M,H
511,X9006,45, F,H
512,X9007,71, M,H
513,X9009,52, F,H
514,X9011,84, M,H
515,X9012,57, M,H
516,X9013,68, M,H
517,X9014,74, M,H
518,X9015,33, M,H
519,X9018,68, M,H
520,X9019,73, M,H
521,X9020,79, M,H
522,X9021,72, M,H
523,X9022,78, M,H
524,X9023,68, F,H
525,X9024,52, M,H
526,X9025,64, M,H
527,X9026,27, M,H
528,X9027,29, M,H
529,X9028,44, M,H
530,X9030,41, F,H
531,X9031,45, M,H
532,X9032,27, F,H
533,X9033,48, F,H
534,X9034,56, F,H
535,X9035,34, M,H
536,X9036,69, M,H
537,X9037,56, M,H
538,X9039,47, M,H
539,X9040,56, F,H
540,X9041,60, M,H
541,X9042,75, F,H
542,X9043,60, M,H
543,X9044,47, M,H
544,X9045,55, M,H
545,X9048,32, M,H
546,X9058,23, M,H
547,X9084,43, F,H
548,X9085,47, F,H
549,X9086,44, F,H
550,X9087,37, F,H
551,X9089,27, M,H
552,X9090,69, F,H
553,X9091,28, F,H
554,X10001,51, F,C
555,X10004,57, F,C
556,X10008,19, M,C
557,X10011,44, F,C
558,X10017,49, M,C
559,X10019,34, M,C
560,X10020,44, F,C
561,X10021,62, F,C
562,X10033,30, M,C
563,X10034,49, M,C
564,X10036,36, M,C
565,X10038,25, F,C
566,X10040,36, F,C
567,X10041,21, F,C
568,X10044,40, F,C
569,X10046,22, F,C
570,X10047,36, F,C
571,X11002,58, M,C
572,X11005,83, F,C
573,X11006,69, F,C
574,X11007,89, M,C
575,X11008,89, F,C
576,X11009,66, M,C
577,X11010,55, F,C
578,X11011,82, F,C
579,X11012,73, M,C
580,X11013,77, F,C
581,X11014,80, M,C
582,X11015,79, M,C
583,X11016,73, F,C
584,X11017,82, F,C
585,X11018,85, M,C
586,X11019,91, F,C
587,X11020,85, M,C
588,X11021,86, M,C
589,X11022,74, M,C
590,X11024,90, M,C
591,X11025,87, M,C
592,X11026,76, M,C
593,X11027,81, F,C
594,X11028,59, M,C
595,X11029,73, F,C
596,X11030,76, M,C
597,X11031,85, M,C
598,X11032,69, F,C
599,X11033,85, F,C
600,X11034,85, F,C
601,X11035,84, F,C
602,X11036,83, F,C
603,X11037,67, F,C
604,X11038,85, M,C
605,X11039,76, M,C
606,X11040,87, M,C
607,X11042,84, M,C
608,X11043,82, M,C
609,X11044,93, F,C
610,X11045,71, M,C
611,X11046,80, F,C
612,X11047,88, F,C
613,X11048,72, M,C
614,X11049,77, M,C
615,X11050,56, M,C
616,X11051,92, M,C
617,X11052,78, M,C
618,X11053,71, F,C
619,X11054,89, F,C
620,X11055,54, F,C
621,X11056,66, F,C
622,X11057,75, M,C
623,X11058,90, M,C
624,X11061,66, F,C
625,X11062,77, F,C
626,X11063,82, M,C
627,X11064,65, F,C
628,X11065,58, M,C
629,X11066,75, M,C
630,X11067,88, F,C
631,X11068,74, F,C
632,X11069,69, M,C
633,X11070,83, F,C
634,X11071,83, F,C
635,X11073,70, F,C
636,X11075,64, M,C
637,X11076,50, M,C
638,X11077,74, M,C
639,X11078,69, F,C
640,X11079,86, M,C
641,X11080,66, F,C
642,X11081,70, F,C
643,X11082,89, M,C
644,X11083,78, M,C
645,X11084,69, F,C
646,X11085,64, F,C
647,X11086,79, F,C
648,X11087,92, F,C
649,X11089,70, F,C
650,X11090,77, F,C
651,X11092,78, F,C
652,X11093,71, M,C
653,X11094,68, M,C
654,X11095,61, F,C
655,X11096,73, M,C
